veh_34_cost_dollars,veh_36_cost_dollars,veh_34_co2_gpmi,veh_36_co2_gpmi,bev_share_hauling_frac,bev_hauling_sales,ice_hauling_sales,bev_hauling_cost_dollars,bev_hauling_co2_megagrams,ice_hauling_cost_dollars,ice_hauling_co2_megagrams,hauling_combo_cost_dollars,hauling_combo_co2_megagrams,veh_33_cost_dollars,veh_33_co2_gpmi,veh_35_co2_gpmi,veh_35_cost_dollars,bev_share_non_hauling_frac,bev_non_hauling_sales,ice_non_hauling_sales,bev_non_hauling_cost_dollars,bev_non_hauling_co2_megagrams,ice_non_hauling_cost_dollars,ice_non_hauling_co2_megagrams,non_hauling_combo_cost_dollars,non_hauling_combo_co2_megagrams,total_combo_co2_megagrams,total_combo_cost_dollars
56652.82494,44229.359789999995,46.80685889,237.604252,0.0,0.0,750024.0,0.0,0.0,33173081347.134956,40251151.27911008,33173081347.134956,40251151.27911008,29085.08679208888,41.304800203333336,253.798322,24820.55522,0.5,500021.0,500021.0,14543154182.867077,4032839.6256024847,12410798841.659618,24779878.484690487,26953953024.526695,28812718.11029297,69063869.38940305,60127034371.66165
56652.82494,44229.359789999995,46.80685889,237.604252,0.0,0.0,750024.0,0.0,0.0,33173081347.134956,40251151.27911008,33173081347.134956,40251151.27911008,28686.49846708571,42.26469539,253.798322,24820.55522,0.5,500021.0,500021.0,14343851650.010662,4126560.048559573,12410798841.659618,24779878.484690487,26754650491.67028,28906438.53325006,69157589.81236014,59927731838.80524
56652.82494,44229.359789999995,46.80685889,237.604252,0.0,0.0,750024.0,0.0,0.0,33173081347.134956,40251151.27911008,33173081347.134956,40251151.27911008,28287.910142082543,43.224590576666664,253.798322,24820.55522,0.5,500021.0,500021.0,14144549117.154257,4220280.471516661,12410798841.659618,24779878.484690487,26555347958.813873,29000158.95620715,69251310.23531723,59728429305.94883
56652.82494,44229.359789999995,46.80685889,237.604252,0.0,0.0,750024.0,0.0,0.0,33173081347.134956,40251151.27911008,33173081347.134956,40251151.27911008,27939.22448248144,44.184485763333335,253.798322,24820.55522,0.5,500021.0,500021.0,13970198964.954851,4314000.89447375,12410798841.659618,24779878.484690487,26380997806.61447,29093879.37916424,69345030.65827432,59554079153.74943
56652.82494,44229.359789999995,46.80685889,237.604252,0.0,0.0,750024.0,0.0,0.0,33173081347.134956,40251151.27911008,33173081347.134956,40251151.27911008,27742.41135,45.14438095,253.798322,24820.55522,0.5,500021.0,500021.0,13871788265.63835,4407721.317430839,12410798841.659618,24779878.484690487,26282587107.29797,29187599.802121326,69438751.08123142,59455668454.43292
56652.82494,44229.359789999995,46.80685889,237.604252,0.25,187506.0,562518.0,10622744593.19964,1982319.2790351957,24879811010.351215,30188363.459332556,35502555603.55086,32170682.73836775,32339.707410000003,36.50532427,190.13928922222223,25827.38079187175,0.0,0.0,1000042.0,0.0,0.0,25828465541.86501,37128917.51973117,25828465541.86501,37128917.51973117,69299600.25809893,61331021145.41586
56652.82494,44229.359789999995,46.80685889,237.604252,0.25,187506.0,562518.0,10622744593.19964,1982319.2790351957,24879811010.351215,30188363.459332556,35502555603.55086,32170682.73836775,32339.707410000003,36.50532427,241.0665154444445,25021.92033437435,0.25,250010.5,750031.5,8085266419.427806,1782118.755408522,18767228441.271297,35305191.80958827,26852494860.6991,37087310.564996794,69257993.30336455,62355050464.249954
56652.82494,44229.359789999995,46.80685889,237.604252,0.25,187506.0,562518.0,10622744593.19964,1982319.2790351957,24879811010.351215,30188363.459332556,35502555603.55086,32170682.73836775,31686.234439752912,37.46521945666667,241.0665154444445,25021.92033437435,0.25,250010.5,750031.5,7921891315.399845,1828978.9668870657,18767228441.271297,35305191.80958827,26689119756.67114,37134170.77647533,69304853.51484308,62191675360.222
56652.82494,44229.359789999995,46.80685889,237.604252,0.25,187506.0,562518.0,10622744593.19964,1982319.2790351957,24879811010.351215,30188363.459332556,35502555603.55086,32170682.73836775,31032.76146950582,38.42511464333334,241.0665154444445,25021.92033437435,0.25,250010.5,750031.5,7758516211.371884,1875839.1783656103,18767228441.271297,35305191.80958827,26525744652.643177,37181030.98795388,69351713.72632164,62028300256.19403
56652.82494,44229.359789999995,46.80685889,237.604252,0.25,187506.0,562518.0,10622744593.19964,1982319.2790351957,24879811010.351215,30188363.459332556,35502555603.55086,32170682.73836775,30379.288499258728,39.38500983,241.0665154444445,25021.92033437435,0.25,250010.5,750031.5,7595141107.3439245,1922699.389844154,18767228441.271297,35305191.80958827,26362369548.61522,37227891.199432425,69398573.93780017,61864925152.16608
56652.82494,44229.359789999995,46.80685889,237.604252,0.25,187506.0,562518.0,10622744593.19964,1982319.2790351957,24879811010.351215,30188363.459332556,35502555603.55086,32170682.73836775,29725.815529011637,40.344905016666665,241.0665154444445,25021.92033437435,0.25,250010.5,750031.5,7431766003.315964,1969559.6013226984,18767228441.271297,35305191.80958827,26198994444.587257,37274751.41091096,69445434.1492787,61701550048.138115
56652.82494,44229.359789999995,46.80685889,237.604252,0.25,187506.0,562518.0,10622744593.19964,1982319.2790351957,24879811010.351215,30188363.459332556,35502555603.55086,32170682.73836775,29085.08679208888,41.304800203333336,241.0665154444445,25021.92033437435,0.25,250010.5,750031.5,7271577091.4335375,2016419.8128012423,18767228441.271297,35305191.80958827,26038805532.70483,37321611.62238951,69492294.36075726,61541361136.25569
56652.82494,44229.359789999995,46.80685889,237.604252,0.25,187506.0,562518.0,10622744593.19964,1982319.2790351957,24879811010.351215,30188363.459332556,35502555603.55086,32170682.73836775,28686.49846708571,42.26469539,241.0665154444445,25021.92033437435,0.25,250010.5,750031.5,7171925825.005331,2063280.0242797865,18767228441.271297,35305191.80958827,25939154266.276627,37368471.83386806,69539154.57223581,61441709869.827484
