veh_12_co2_gpmi,veh_12_cost_dollars,veh_10_co2_gpmi,veh_10_cost_dollars,bev_share_hauling_frac,bev_hauling_sales,ice_hauling_sales,bev_hauling_cost_dollars,bev_hauling_co2_megagrams,ice_hauling_cost_dollars,ice_hauling_co2_megagrams,hauling_combo_cost_dollars,hauling_combo_co2_megagrams
237.604252,45931.52065,41.70419207,60347.35944,0.0,0.0,750024.0,0.0,0.0,34449742843.9956,40251151.27911008,34449742843.9956,40251151.27911008
237.604252,45931.52065,41.70419207,60347.35944,0.25,187506.0,562518.0,11315491979.15664,1766216.0187085292,25837307132.9967,30188363.459332556,37152799112.153336,31954579.478041086
237.604252,45931.52065,41.70419207,60347.35944,0.5,375012.0,375012.0,22630983958.31328,3532432.0374170584,17224871421.9978,20125575.63955504,39855855380.31108,23658007.6769721
237.604252,45931.52065,41.70419207,60347.35944,0.75,562518.0,187506.0,33946475937.46992,5298648.056125588,8612435710.9989,10062787.81977752,42558911648.46882,15361435.875903107
237.604252,45931.52065,41.70419207,60347.35944,1.0,750024.0,0.0,45261967916.62656,7064864.074834117,0.0,0.0,45261967916.62656,7064864.074834117
246.19148625,44609.59559063058,41.70419207,60347.35944,0.0,0.0,750024.0,0.0,0.0,33458267323.267113,41705864.576353185,33458267323.267113,41705864.576353185
246.19148625,44609.59559063058,41.70419207,60347.35944,0.25,187506.0,562518.0,11315491979.15664,1766216.0187085292,25093700492.450333,31279398.43226489,36409192471.60697,33045614.45097342
246.19148625,44609.59559063058,41.70419207,60347.35944,0.5,375012.0,375012.0,22630983958.31328,3532432.0374170584,16729133661.633556,20852932.288176592,39360117619.94684,24385364.32559365
246.19148625,44609.59559063058,41.70419207,60347.35944,0.75,562518.0,187506.0,33946475937.46992,5298648.056125588,8364566830.816778,10426466.144088296,42311042768.2867,15725114.200213883
254.7787205,43287.67053126115,41.70419207,60347.35944,0.0,0.0,750024.0,0.0,0.0,32466791802.538616,43160577.87359631,32466791802.538616,43160577.87359631
254.7787205,43287.67053126115,41.70419207,60347.35944,0.25,187506.0,562518.0,11315491979.15664,1766216.0187085292,24350093851.90396,32370433.405197233,35665585831.0606,34136649.42390576
254.7787205,43287.67053126115,41.70419207,60347.35944,0.5,375012.0,375012.0,22630983958.31328,3532432.0374170584,16233395901.269308,21580288.936798155,38864379859.58259,25112720.974215213
254.7787205,43287.67053126115,41.70419207,60347.35944,0.75,562518.0,187506.0,33946475937.46992,5298648.056125588,8116697950.634654,10790144.468399078,42063173888.104576,16088792.524524666
263.36595475,42695.88661666439,41.70419207,60347.35944,0.0,0.0,750024.0,0.0,0.0,32022939663.777096,44615291.17083944,32022939663.777096,44615291.17083944
263.36595475,42695.88661666439,41.70419207,60347.35944,0.25,187506.0,562518.0,11315491979.15664,1766216.0187085292,24017204747.83282,33461468.378129575,35332696726.989456,35227684.396838106
263.36595475,42695.88661666439,41.70419207,60347.35944,0.5,375012.0,375012.0,22630983958.31328,3532432.0374170584,16011469831.888548,22307645.58541972,38642453790.20183,25840077.622836776
263.36595475,42695.88661666439,41.70419207,60347.35944,0.75,562518.0,187506.0,33946475937.46992,5298648.056125588,8005734915.944274,11153822.79270986,41952210853.41419,16452470.848835446
271.953189,42438.93854133588,41.70419207,60347.35944,0.0,0.0,750024.0,0.0,0.0,31830222440.526905,46070004.468082555,31830222440.526905,46070004.468082555
271.953189,42438.93854133588,41.70419207,60347.35944,0.25,187506.0,562518.0,11315491979.15664,1766216.0187085292,23872666830.39518,34552503.35106192,35188158809.55182,36318719.369770445
271.953189,42438.93854133588,41.70419207,60347.35944,0.5,375012.0,375012.0,22630983958.31328,3532432.0374170584,15915111220.263453,23035002.234041277,38546095178.57673,26567434.271458335
271.953189,42438.93854133588,41.70419207,60347.35944,0.75,562518.0,187506.0,33946475937.46992,5298648.056125588,7957555610.131726,11517501.11702064,41904031547.60165,16816149.173146226
237.604252,45931.52065,41.355649255,60543.814900259094,0.25,187506.0,562518.0,11352328556.687984,1751454.867071172,25837307132.9967,30188363.459332556,37189635689.684685,31939818.32640373
237.604252,45931.52065,41.355649255,60543.814900259094,0.5,375012.0,375012.0,22704657113.375965,3502909.734142344,17224871421.9978,20125575.63955504,39929528535.37376,23628485.373697385
237.604252,45931.52065,41.355649255,60543.814900259094,0.75,562518.0,187506.0,34056985670.063946,5254364.601213516,8612435710.9989,10062787.81977752,42669421381.06284,15317152.420991035
237.604252,45931.52065,41.355649255,60543.814900259094,1.0,750024.0,0.0,45409314226.75193,7005819.468284688,0.0,0.0,45409314226.75193,7005819.468284688
246.19148625,44609.59559063058,41.355649255,60543.814900259094,0.25,187506.0,562518.0,11352328556.687984,1751454.867071172,25093700492.450333,31279398.43226489,36446029049.13831,33030853.29933606
