veh_48_co2_gpmi,veh_46_cost_dollars,veh_48_cost_dollars,veh_46_co2_gpmi,bev_share_hauling_frac,bev_hauling_sales,ice_hauling_sales,bev_hauling_cost_dollars,bev_hauling_co2_megagrams,ice_hauling_cost_dollars,ice_hauling_co2_megagrams,hauling_combo_cost_dollars,hauling_combo_co2_megagrams
237.604252,54950.60577,43405.17944,46.80685889,0.0,0.0,750024.0,0.0,0.0,32554926304.30656,40251151.27911008,32554926304.30656,40251151.27911008
237.604252,54950.60577,43405.17944,46.80685889,0.25,187506.0,562518.0,10303568285.50962,1982319.2790351957,24416194728.22992,30188363.459332556,34719763013.73954,32170682.73836775
237.604252,54950.60577,43405.17944,46.80685889,0.5,375012.0,375012.0,20607136571.01924,3964638.5580703914,16277463152.15328,20125575.63955504,36884599723.17252,24090214.197625432
237.604252,54950.60577,43405.17944,46.80685889,0.75,562518.0,187506.0,30910704856.528866,5946957.837105588,8138731576.07664,10062787.81977752,39049436432.6055,16009745.65688311
237.604252,54950.60577,43405.17944,46.80685889,1.0,750024.0,0.0,41214273142.03848,7929277.116140783,0.0,0.0,41214273142.03848,7929277.116140783
239.41562172460937,54950.60577,43120.37093836881,46.80685889,0.0,0.0,750024.0,0.0,0.0,32341313092.67913,40558004.86524729,32341313092.67913,40558004.86524729
239.41562172460937,54950.60577,43120.37093836881,46.80685889,0.25,187506.0,562518.0,10303568285.50962,1982319.2790351957,24255984819.509342,30418503.648935467,34559553105.01897,32400822.927970663
239.41562172460937,54950.60577,43120.37093836881,46.80685889,0.5,375012.0,375012.0,20607136571.01924,3964638.5580703914,16170656546.339563,20279002.432623643,36777793117.35881,24243640.990694035
239.41562172460937,54950.60577,43120.37093836881,46.80685889,0.75,562518.0,187506.0,30910704856.528866,5946957.837105588,8085328273.169783,10139501.216311822,38996033129.69865,16086459.05341741
241.22699144921876,54950.60577,42835.562436737615,46.80685889,0.0,0.0,750024.0,0.0,0.0,32127699881.051693,40864858.451384515,32127699881.051693,40864858.451384515
241.22699144921876,54950.60577,42835.562436737615,46.80685889,0.25,187506.0,562518.0,10303568285.50962,1982319.2790351957,24095774910.78877,30648643.838538382,34399343196.298386,32630963.11757358
241.22699144921876,54950.60577,42835.562436737615,46.80685889,0.5,375012.0,375012.0,20607136571.01924,3964638.5580703914,16063849940.525846,20432429.225692257,36670986511.54509,24397067.78376265
241.22699144921876,54950.60577,42835.562436737615,46.80685889,0.75,562518.0,187506.0,30910704856.528866,5946957.837105588,8031924970.262923,10216214.612846129,38942629826.79179,16163172.449951716
243.03836117382812,54950.60577,42550.753935106426,46.80685889,0.0,0.0,750024.0,0.0,0.0,31914086669.424263,41171712.03752173,31914086669.424263,41171712.03752173
243.03836117382812,54950.60577,42550.753935106426,46.80685889,0.25,187506.0,562518.0,10303568285.50962,1982319.2790351957,23935565002.068195,30878784.0281413,34239133287.577816,32861103.307176497
243.03836117382812,54950.60577,42550.753935106426,46.80685889,0.5,375012.0,375012.0,20607136571.01924,3964638.5580703914,15957043334.712132,20585856.018760864,36564179905.73137,24550494.576831255
243.03836117382812,54950.60577,42550.753935106426,46.80685889,0.75,562518.0,187506.0,30910704856.528866,5946957.837105588,7978521667.356066,10292928.009380432,38889226523.884926,16239885.84648602
244.84973089843749,54950.60577,42265.94543347523,46.80685889,0.0,0.0,750024.0,0.0,0.0,31700473457.796825,41478565.623658955,31700473457.796825,41478565.623658955
244.84973089843749,54950.60577,42265.94543347523,46.80685889,0.25,187506.0,562518.0,10303568285.50962,1982319.2790351957,23775355093.34762,31108924.217744213,34078923378.85724,33091243.49677941
244.84973089843749,54950.60577,42265.94543347523,46.80685889,0.5,375012.0,375012.0,20607136571.01924,3964638.5580703914,15850236728.898413,20739282.81182948,36457373299.917656,24703921.36989987
244.84973089843749,54950.60577,42265.94543347523,46.80685889,0.75,562518.0,187506.0,30910704856.528866,5946957.837105588,7925118364.449206,10369641.40591474,38835823220.978065,16316599.243020326
