input_template_name:,ghg_standards-footprint,input_template_version:,0.0003,,,,,
reg_class_id,model_year,fp_min,fp_max,a_coeff,b_coeff,c_coeff,d_coeff,lifetime_vmt
car,2020,41,56,166,226,4.01,1.9,195264
car,2021,41,56,161.8,220.9,3.94,0.3,195264
car,2022,41,56,153.7,209.9,3.74,0.2,195264
car,2023,41,56,146,199.4,3.56,0.2,195264
car,2024,41,56,138.7,189.4,3.38,0.2,195264
car,2025,41,56,131.8,179.9,3.21,0.2,195264
car,2026,41,56,125.2,170.9,3.05,0.2,195264
car,2027,41,56,118.9,162.4,2.9,0.2,195264
car,2028,41,56,113,154.3,2.75,0.2,195264
car,2029,41,56,107.3,146.5,2.61,0.2,195264
car,2030,41,56,102,139.2,2.48,0.2,195264
car,2031,41,56,96.9,132.3,2.36,0.2,195264
car,2032,41,56,92,125.6,2.24,0.1,195264
car,2033,41,56,87.4,119.4,2.13,0.1,195264
car,2034,41,56,83.1,113.4,2.02,0.1,195264
car,2035,41,56,78.9,107.7,1.92,0.1,195264
car,2036,41,56,75,102.3,1.83,0.1,195264
car,2037,41,56,71.2,97.2,1.73,0.1,195264
car,2038,41,56,67.7,92.4,1.65,0.1,195264
car,2039,41,56,64.3,87.7,1.57,0.1,195264
car,2040,41,56,61.1,83.4,1.49,0.1,195264
car,2041,41,56,58,79.2,1.41,0.1,195264
car,2042,41,56,55.1,75.2,1.34,0.1,195264
car,2043,41,56,52.3,71.5,1.27,0.1,195264
car,2044,41,56,49.7,67.9,1.21,0.1,195264
car,2045,41,56,47.2,64.5,1.15,0.1,195264
car,2046,41,56,44.9,61.3,1.09,0.1,195264
car,2047,41,56,42.6,58.2,1.04,0.1,195264
car,2048,41,56,40.5,55.3,0.99,0.1,195264
car,2049,41,56,38.5,52.5,0.94,0.1,195264
car,2050,41,56,36.6,49.9,0.89,0.1,195264
truck,2020,41,68.3,212,337,4.6,24.6,225865
truck,2021,41,68.3,206.6,329.7,4.5,21.7,225865
truck,2022,41,68.3,196.3,313.2,4.28,20.6,225865
truck,2023,41,68.3,186.5,297.6,4.07,19.6,225865
truck,2024,41,68.3,177.1,282.7,3.87,18.6,225865
truck,2025,41,68.3,168.3,268.5,3.67,17.7,225865
truck,2026,41,68.3,159.9,255.1,3.49,16.8,225865
truck,2027,41,68.3,151.9,242.4,3.31,16,225865
truck,2028,41,68.3,144.3,230.2,3.15,15.2,225865
truck,2029,41,68.3,137.1,218.7,2.99,14.4,225865
truck,2030,41,68.3,130.2,207.8,2.84,13.7,225865
truck,2031,41,68.3,123.7,197.4,2.7,13,225865
truck,2032,41,68.3,117.5,187.5,2.56,12.4,225865
truck,2033,41,68.3,111.6,178.2,2.44,11.7,225865
truck,2034,41,68.3,106.1,169.2,2.31,11.2,225865
truck,2035,41,68.3,100.8,160.8,2.2,10.6,225865
truck,2036,41,68.3,95.7,152.7,2.09,10.1,225865
truck,2037,41,68.3,90.9,145.1,1.98,9.6,225865
truck,2038,41,68.3,86.4,137.9,1.89,9.1,225865
truck,2039,41,68.3,82.1,131,1.79,8.6,225865
truck,2040,41,68.3,78,124.4,1.7,8.2,225865
truck,2041,41,68.3,74.1,118.2,1.62,7.8,225865
truck,2042,41,68.3,70.4,112.3,1.54,7.4,225865
truck,2043,41,68.3,66.8,106.7,1.46,7,225865
truck,2044,41,68.3,63.5,101.3,1.39,6.7,225865
truck,2045,41,68.3,60.3,96.3,1.32,6.3,225865
truck,2046,41,68.3,57.3,91.5,1.25,6,225865
truck,2047,41,68.3,54.4,86.9,1.19,5.7,225865
truck,2048,41,68.3,51.7,82.5,1.13,5.4,225865
truck,2049,41,68.3,49.1,78.4,1.07,5.2,225865
truck,2050,41,68.3,46.7,74.5,1.02,4.9,225865
