MODEL_YEAR,CAF�_MFR_CD,CARLINE_NAME,Model Year,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Veh Displacement (L),Drive System Code,,
2019,FMX,MKC  AWD,2019,FMX,Ford,MKC,,F,,
2019,FMX,MKT AWD,2019,FMX,Ford,MKT,,A,,
2019,FMX,MKZ FWD,2019,FMX,Ford,MKZ,,F,,
2019,FMX,NAUTILUS AWD,2019,FMX,Ford,Nautilus,,F,,
2019,FMX,MUSTANG CONVERTIBLE,2019,FMX,Ford,Mustang,2.3,R,,
2019,FMX,CHALLENGER GT,2019,FMX,Ford,Challenger,,R,,
2019,FMX,JOURNEY AWD,2019,FMX,Ford,Journey,,F,,
2019,FMX,1500 Classic 4x4,2019,FMX,Ford,1500 4x4,,R,,
2019,FMX,F150 PICKUP 2WD FFV,2019,FMX,Ford,F150 4x2,,R,,
2019,FMX,F150 PICKUP 4WD FFV,2019,FMX,Ford,F150 4x4,,P,,
2019,FMX,F150 PICKUP 4WD LIMITED,2019,FMX,Ford,F150 4x4,,P,,
2019,FMX,F150 2WD FFV BASE PAYLOAD LT,2019,FMX,Ford,F150 4x2,,R,,
2019,FMX,F150 4WD FFV BASE PAYLOAD LT,2019,FMX,Ford,F150 4x4,,P,,
2019,FMX,F150 2WD BASE PAYLOAD LT TIRE,2019,FMX,Ford,F150 4x2,,R,,
2019,FMX,F150 4WD BASE PAYLOAD LT TIRE,2019,FMX,Ford,F150 4x4,,P,,
2019,FMX,F150 PICKUP 2WD,2019,FMX,Ford,F150 4x2,,R,,
2019,FMX,F150 PICKUP 4WD,2019,FMX,Ford,F150 4x4,,P,,
2019,FMX,F150 PICKUP 4WD XL/XLT,2019,FMX,Ford,F150 4x4,,P,,
2019,FMX,F150 2.7L 4WD GVWR>6799 LBS,2019,FMX,Ford,F150 4x4,,P,,
2019,FMX,F150 5.0L 4WD FFV GVWR>7599 LBS,2019,FMX,Ford,F150 Super Cab 4X4,5,P,,
2019,FMX,F150 5.0L 2WD FFV GVWR>7599 LBS,2019,FMX,Ford,F150 Super Cab 4X2,5,P,,
2019,FMX,F150 2.7L 2WD GVWR>6649 LBS,2019,FMX,Ford,F150 4x2,,R,,
2019,FMX,FIESTA FWD,2019,FMX,Ford,FIESTA,,F,,
2019,FMX,RANGER 2WD,2019,FMX,Ford,Ranger - Chassis Cab,,R,,
2019,FMX,RANGER 4WD,2019,FMX,Ford,Ranger - Chassis Cab,,R,,
2019,FMX,RANGER 2WD INCOMPLETE,2019,FMX,Ford,Ranger - Chassis Cab,,R,,
